Mice,TrialType,Trials,Ingress_Fit,Ingress_Mag,Tremble_Mag,Tremble_Dur,Ingress_onset,TrialType_Generic
PW29,CS-2,1,0.849022652278214,0.0648025234672376,0.0539742876600901,0.459347726228755,0.725666666666667,CS-
PW29,CS-2,2,-0.31235937335321,0,0.103737287645493,0.449374699374699,0.693,CS-
PW29,CS-2,3,0.854518857263866,0,0.180129042317825,1.002,0.0416666666666667,CS-
PW29,CS-2,4,0.301435655153149,0,0.0542787520918771,1.00161290322581,0.0516666666666667,CS-
PW29,CS-2,5,0.124743917167143,0,0.0563648838591229,0.96772997032641,0.224666666666667,CS-
PW29,CS-2,6,NaN,0,NaN,NaN,0.0623333333333333,CS-
PW29,CS-2,7,NaN,0,NaN,NaN,0.338166666666667,CS-
PW29,CS-2,8,0.907314262989542,0.0695225547938527,0.0415431609095295,0.240816819719671,0.689666666666667,CS-
PW29,CS-2,9,NaN,0,NaN,NaN,0.282916666666667,CS-
PW29,CS-2,10,0.988558675143669,0,0.0108102487366762,0.092625,NaN,CS-
PW30,CS-1,1,0.980349652715121,0.0648079064427724,0.0296077068741631,0.339125,NaN,CS-
PW30,CS-1,2,0.946117568773448,0.0324625728835868,0.0165215716928748,0.1545,NaN,CS-
PW30,CS-1,3,0.891575402600036,0.0262997076997175,0.0023836678842653,0.022625,NaN,CS-
PW30,CS-1,4,NaN,0,NaN,NaN,0.7215,CS-
PW30,CS-1,5,0.96422923508232,0,0.00725340484512775,0.09375,NaN,CS-
PW30,CS-1,6,0.964958414678796,0.159357441305689,0.015017098188718,0.513678905687545,0.6945,CS-
PW30,CS-1,7,0.846954016357354,0.108337077347388,0.0437257907726306,0.499882821654558,0.711166666666667,CS-
PW30,CS-1,8,0.871347649928763,0.151546876269037,0.0906741455119553,0.789896169618707,0.955083333333333,CS-
PW30,CS-1,9,0.574094815580364,0.37392128670933,0.773862277399299,1.00077942322681,0.106916666666667,CS-
PW30,CS-1,10,0.944246465044756,0,0.0234885946383247,0.9335,NaN,CS-
PW30,CS-2,1,0.984387867372436,0.141238895014908,0.00207814593892927,0.407470288624788,0.0490833333333333,CS-
PW30,CS-2,2,0.942863606206298,0,0.00391633077810976,0.016,NaN,CS-
PW30,CS-2,3,0.984634178564363,0.228493681659082,0.0587515470146667,0.209701752350006,0.718083333333333,CS-
PW30,CS-2,4,0.682411431461937,0.0188011235333457,0.0129207206125052,0.119269298762522,0.707083333333333,CS-
PW30,CS-2,5,0.963351225970709,0,0.0118815827779299,0.383375,NaN,CS-
PW30,CS-2,6,0.908807875012489,0.538023492602267,3.04264282122831,0.506615598885794,0.718,CS-
PW30,CS-2,7,0.624736523795356,0.0756270601468639,0.110301199811494,0.580645161290323,0.73625,CS-
PW30,CS-2,8,0.933802324419499,0.155718798187798,0.049232224977371,0.458447597472279,0.698916666666667,CS-
PW30,CS-2,9,0.976231800072343,0.404777591509354,0.58334641056507,1.00019215987702,0.433666666666667,CS-
PW30,CS-2,10,0.641395699478797,0.0316226038969875,0.0831956706513192,1.00011502185415,0.7245,CS-
